"id","name","city_id"
"1100122009",Jardim Presidencial - J,"1100122"
"1100122014",Duque de Caxias - J,"1100122"
"1100122019",Riachuelo - J,"1100122"
"1100122024",Cafezinho - J,"1100122"
"1100122029",Capelasso - J,"1100122"
"1100122034",Açaí - J,"1100122"
"1100122039",Orleans Ji-Paraná II - J,"1100122"
"1100130002",José Carlos de Souza Freitas,"1100130"
"1100130007",Judith Holder,"1100130"
"1100130012",Bom Futuro,"1100130"
"1100130017",Cruzeiro Do Sul,"1100130"
"1100155001",União,"1100155"
"1100155006",Jardim Novo Estado,"1100155"
"1100155011",Do Incra,"1100155"
"1100189005",Nova Pimenta Bueno,"1100189"
"1100189009",B.N.H.,"1100189"
"1100205005",Industrial,"1100205"
"1100205009",São João Bosco,"1100205"
"1100205015",Olaria,"1100205"
"1100205019",Santa Bárbara,"1100205"
"1100205025",Militar,"1100205"
"1100205031",Embratel,"1100205"
"1100205039",Lagoa,"1100205"
"1100205043",Aeroclube,"1100205"
"1100205050",Eletronorte,"1100205"
"1100205053",Cascalheira,"1100205"
"1100205060",Igarapé,"1100205"
"1100205063",Cidade Nova,"1100205"
"1100288003",Jardim Tropical,"1100288"
"1100288006",Olímpico,"1100288"
"1100288013",Mutirão,"1100288"
"1100296001",Figueira,"1100296"
"1100304001",Jardim Eldorado,"1100304"
"1100304004",Alto Alegre,"1100304"
"1100304011",Parque Industrial Novo Tempo,"1100304"
"1100320002",Novo Oriente,"1100320"
"1100338003",Santa Luzia,"1100338"
"1100338006",Cidade Nova,"1100338"
"1100809001",Satélite,"1100809"
"1100809004",Novo Horizonte,"1100809"
"1101500001",Centro,"1101500"
"1101500004",Jardim das Américas,"1101500"
"1101708005",Sumaúma,"1101708"
"1200054003",Plácido de Castro,"1200054"
"1200104005",Samaúma,"1200104"
"1200104008",Francisco J. Moreira,"1200104"
"1200252005",Por do Sol,"1200252"
"1200252008",José Hassem,"1200252"
"1200302006",Nair Araújo,"1200302"
"1200302009",Bela Vista,"1200302"
"1200427003",Roberto Leite,"1200427"
"1200500001",Vila Militar,"1200500"
"1200500008",Centro,"1200500"
"1200500011",São Gonçalves,"1200500"
"1200500018",Bom Sucesso,"1200500"
"1200500021",Niterói,"1200500"
"1200609007",Praia,"1200609"
"1200609004",Cohab,"1200609"
"1200708004",Cerâmica,"1200708"
"1200708007",Constantino,"1200708"
"1300086001",Centro,"1300086"
"1300102001",Centro,"1300102"
"1300144003",Centro,"1300144"
"1300144006",Cachoeirinha,"1300144"
"1300300004",Governador Gilberto Mestrinho,"1300300"
